date	hour	energy_consumption_mwh	temperature_celsius	day_type	month	season	baseline_demand	industrial_load	residential_load	renewable_generation	grid_frequency	demand_forecast_naive	trend_component	seasonal_component	random_component
2024-01-03	12	5560	-2	Weekday	1	Winter	2500	3090	2420	280	50.02	5520	3250	2300	10
2024-01-03	13	5520	-2	Weekday	1	Winter	2500	3050	2410	320	50.01	5480	3260	2250	10
2024-01-03	14	5460	-3	Weekday	1	Winter	2500	2990	2400	350	50.00	5420	3270	2180	10
2024-01-03	15	5380	-4	Weekday	1	Winter	2500	2910	2390	280	49.99	5340	3280	2090	10
2024-01-03	16	5220	-5	Weekday	1	Winter	2500	2750	2370	250	49.98	5180	3290	1920	10
2024-01-03	17	5020	-6	Weekday	1	Winter	2500	2550	2340	220	49.99	4980	3300	1710	10
2024-01-03	18	4820	-7	Weekday	1	Winter	2500	2350	2310	190	50.00	4780	3310	1500	10
2024-01-03	19	4620	-8	Weekday	1	Winter	2500	2150	2280	160	50.01	4580	3320	1290	10
2024-01-03	20	4420	-9	Weekday	1	Winter	2500	1950	2250	180	50.02	4380	3330	1080	10
2024-01-03	21	4220	-9	Weekday	1	Winter	2500	1750	2220	220	50.01	4180	3340	870	10
2024-01-03	22	3960	-10	Weekday	1	Winter	2500	1490	2170	250	50.00	3920	3350	600	10
2024-01-03	23	3720	-10	Weekday	1	Winter	2500	1250	2120	280	49.99	3680	3360	350	10
